path,component_family,disposition,successor_hint,inverse_evidence,provisional_gap
./.github/workflows/cd.yml,silmaril/ci/workflow,migrate,Workflow 4 multi-engine CI/CD (Jena/SIS/Sedona/rdflib) (PLAN_FREEZE Workflow 4; JUNGLE_MAP CI jobs Will-be-removed/Will-change),,
./.github/workflows/ci.yml,silmaril/ci/workflow,migrate,Workflow 4 multi-engine CI/CD (Jena/SIS/Sedona/rdflib) (PLAN_FREEZE Workflow 4; JUNGLE_MAP CI jobs Will-be-removed/Will-change),,
./.gitignore,silmaril/root/repo-config,reuse,,,
./.gitmodules,silmaril/root/repo-config,reuse,,,
./JUNGLE_MAP.md,silmaril/root/governance-doc,reuse,,,
./PLAN_FREEZE.md,silmaril/root/governance-doc,reuse,,,
./README.md,silmaril/root/governance-doc,reuse,,,
./STRICTNESS_RULES.md,silmaril/root/governance-doc,reuse,,,
./SUBAGENT_FINDINGS.md,silmaril/root/governance-doc,reuse,,,
./TRANSCRIPT_VERBATIM.md,silmaril/root/governance-doc,reuse,,,
./docs/Gemfile,silmaril/site/jekyll-scaffold,retire,forge/base_templates HEEx site renderer (JUNGLE_MAP CI: site Will be rebuilt as GeoSPARQL-driven generation),hand-authored Jekyll apparatus superseded by the GeoSPARQL/base_templates render mechanism (PLAN_FREEZE Ruling B zero hand-authored HTML; Workflow 3); bytes recoverable from git history until the successor renderer is proven,
./docs/README.md,silmaril/docs/working-notes,reuse,,,
./docs/_config.yml,silmaril/site/jekyll-scaffold,retire,forge/base_templates HEEx site renderer (JUNGLE_MAP CI: site Will be rebuilt as GeoSPARQL-driven generation),hand-authored Jekyll apparatus superseded by the GeoSPARQL/base_templates render mechanism (PLAN_FREEZE Ruling B zero hand-authored HTML; Workflow 3); bytes recoverable from git history until the successor renderer is proven,
./docs/_includes/build-status.html,silmaril/site/generated-artifact,retire,GeoSPARQL-driven site render (forge/base_templates HEEx),regenerated byte-identical by the GeoSPARQL/render pipeline from basicttl ontology (JUNGLE_MAP: generated.css/build-status.html are generated; CI site + ui-constructor jobs regenerate-and-compare); STRICTNESS Rule 10 removes-from-branch,
./docs/_layouts/default.html,silmaril/site/jekyll-scaffold,retire,forge/base_templates HEEx site renderer (JUNGLE_MAP CI: site Will be rebuilt as GeoSPARQL-driven generation),hand-authored Jekyll apparatus superseded by the GeoSPARQL/base_templates render mechanism (PLAN_FREEZE Ruling B zero hand-authored HTML; Workflow 3); bytes recoverable from git history until the successor renderer is proven,
./docs/architecture.html,silmaril/site/generated-artifact,retire,GeoSPARQL-driven site render (forge/base_templates HEEx),regenerated byte-identical by the GeoSPARQL/render pipeline from basicttl ontology (JUNGLE_MAP: generated.css/build-status.html are generated; CI site + ui-constructor jobs regenerate-and-compare); STRICTNESS Rule 10 removes-from-branch,
./docs/assets/css/generated.css,silmaril/site/generated-artifact,retire,GeoSPARQL-driven site render (forge/base_templates HEEx),regenerated byte-identical by the GeoSPARQL/render pipeline from basicttl ontology (JUNGLE_MAP: generated.css/build-status.html are generated; CI site + ui-constructor jobs regenerate-and-compare); STRICTNESS Rule 10 removes-from-branch,
./docs/assets/css/main.css,silmaril/site/jekyll-scaffold,retire,forge/base_templates HEEx site renderer (JUNGLE_MAP CI: site Will be rebuilt as GeoSPARQL-driven generation),hand-authored Jekyll apparatus superseded by the GeoSPARQL/base_templates render mechanism (PLAN_FREEZE Ruling B zero hand-authored HTML; Workflow 3); bytes recoverable from git history until the successor renderer is proven,
