inventory_id,output_artifact,downstream_fragment
source_files,inventories/source_files.csv,00_architecture.tex
modules,inventories/modules.csv,00_architecture.tex
public_apis,inventories/public_apis.csv,00_architecture.tex
dependencies,inventories/dependencies.csv,00_architecture.tex
configuration,inventories/configuration.csv,01_build_configuration_tasks.tex
mix_tasks,inventories/mix_tasks.csv,01_build_configuration_tasks.tex
project_tasks,inventories/project_tasks.csv,01_build_configuration_tasks.tex
make_targets,inventories/make_targets.csv,01_build_configuration_tasks.tex
telephone_topology,inventories/telephone_topology.csv,02_telephone_rings.tex
ring_families,inventories/ring_families.csv,02_telephone_rings.tex
native_tree,inventories/native_tree.csv,03_native_gdb_verification.tex
gdb_evidence,inventories/gdb_evidence.csv,03_native_gdb_verification.tex
scripts,inventories/scripts.csv,04_operations_documentation.tex
tests,inventories/tests.csv,04_operations_documentation.tex
documentation,inventories/documentation.csv,04_operations_documentation.tex
shared_components,inventories/shared_components.csv,04_operations_documentation.tex
shared_anchors,inventories/shared_anchors.csv,04_operations_documentation.tex
catalog_documents,inventories/catalog_documents.csv,05_provenance_relations_gaps.tex
catalog_claims,inventories/catalog_claims.csv,05_provenance_relations_gaps.tex
catalog_gaps,inventories/catalog_gaps.csv,05_provenance_relations_gaps.tex
catalog_quality_flags,inventories/catalog_quality_flags.csv,05_provenance_relations_gaps.tex
provenance,inventories/provenance.csv,05_provenance_relations_gaps.tex
phase14,inventories/phase14.csv,06_phase14_26x4.tex
